File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,29.9,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,32.58,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,19.17,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,21.89,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,23.5,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,26.09,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,28.62,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,31.01,Fastjet,3.5.1,EEKt,Best,1.0,-1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,19.45,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,22.03,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,23.84,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,26.65,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,29.64,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,31.98,Fastjet,3.5.1,EEKt,Best,1.0,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,21.45,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,24.32,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,26.46,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,29.65,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,32.15,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,35.35,Fastjet,3.5.1,EEKt,Best,1.5,0.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,20.53,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
